time,frequency,confidence
5.910,141.316,0.874
5.920,141.286,0.870
5.930,141.286,0.863
5.940,141.286,0.854
5.950,138.591,0.845
5.960,138.591,0.845
5.970,138.591,0.845
5.980,138.470,0.844
5.990,135.948,0.843
6.000,135.948,0.842
6.010,135.997,0.841
6.020,142.256,0.842
6.030,146.813,0.844
6.040,146.832,0.846
6.050,141.286,0.850
6.060,141.286,0.855
6.070,138.592,0.860
6.080,138.591,0.865
6.090,138.591,0.870
6.100,138.591,0.873
6.110,138.591,0.876
6.120,138.591,0.878
6.130,138.591,0.879
6.140,138.591,0.878
6.150,138.591,0.884
6.160,138.591,0.889
6.170,138.591,0.893
6.180,141.286,0.896
6.190,141.286,0.899
6.200,141.286,0.901
6.210,141.286,0.902
6.220,144.032,0.903
6.230,144.032,0.903
6.240,144.032,0.902
6.250,144.032,0.901
6.260,144.032,0.899
6.270,144.032,0.897
6.280,144.032,0.895
6.290,144.032,0.892
6.300,144.032,0.890
6.310,144.032,0.886
6.320,143.848,0.882
6.330,141.286,0.877
6.340,141.286,0.872
6.350,141.286,0.866
6.360,141.286,0.859
6.370,144.032,0.851
6.380,144.032,0.842
6.390,144.032,0.831
6.400,144.032,0.819
6.410,168.014,0.806
6.420,171.005,0.794
6.430,171.294,0.817
6.440,171.959,0.837
6.450,177.635,0.853
6.460,174.614,0.867
6.470,178.009,0.878
6.480,178.009,0.888
6.490,178.009,0.899
6.500,178.009,0.907
6.510,181.469,0.913
6.520,181.469,0.915
6.530,181.469,0.915
6.540,181.469,0.912
6.550,178.009,0.907
6.560,178.009,0.898
6.570,178.009,0.894
6.580,178.009,0.890
6.590,171.284,0.882
6.600,171.284,0.872
6.610,171.284,0.859
6.620,171.284,0.843
6.630,171.284,0.834
6.640,171.284,0.822
6.650,171.284,0.807
6.660,177.986,0.789
6.670,181.469,0.771
6.680,415.305,0.756
6.690,207.652,0.756
6.700,181.469,0.771
6.710,174.614,0.784
6.720,171.355,0.795
6.730,178.009,0.804
6.740,181.469,0.814
6.750,181.469,0.830
6.760,181.469,0.846
6.770,181.469,0.860
6.780,178.009,0.873
6.790,178.009,0.884
6.800,174.614,0.892
6.810,171.284,0.898
6.820,171.284,0.901
6.830,168.018,0.901
6.840,168.018,0.899
6.850,168.018,0.896
6.860,171.284,0.890
6.870,171.284,0.883
6.880,171.484,0.886
6.890,177.859,0.897
6.900,178.009,0.908
6.910,181.469,0.919
6.920,181.469,0.929
6.930,181.469,0.938
6.940,181.469,0.945
6.950,184.997,0.951
6.960,184.997,0.954
6.970,184.997,0.956
6.980,181.469,0.956
6.990,181.469,0.954
7.000,181.469,0.951
7.010,181.469,0.947
7.020,181.469,0.944
7.030,178.009,0.941
7.040,178.009,0.938
7.050,178.009,0.937
7.060,178.009,0.937
7.070,178.065,0.938
7.080,181.469,0.940
7.090,181.469,0.942
7.100,181.469,0.943
7.110,184.679,0.944
7.120,184.997,0.944
7.130,184.997,0.943
7.140,184.997,0.941
7.150,181.469,0.939
7.160,181.469,0.936
7.170,181.469,0.932
7.180,178.009,0.927
7.190,178.009,0.921
7.200,178.009,0.914
7.210,178.009,0.905
7.220,181.469,0.893
7.230,181.469,0.879
7.240,184.997,0.869
7.250,185.059,0.880
7.260,188.593,0.891
7.270,188.594,0.902
7.280,188.594,0.910
7.290,188.594,0.914
7.300,188.594,0.916
7.310,188.594,0.915
7.320,188.594,0.910
7.330,188.594,0.902
7.340,185.038,0.892
7.350,184.998,0.879
7.360,184.997,0.863
7.370,184.997,0.844
7.380,184.123,0.822
7.390,181.469,0.797
7.400,177.544,0.768
7.410,180.490,0.736
7.420,184.997,0.701
7.430,181.558,0.674
7.440,181.469,0.641
7.450,184.997,0.626
7.460,184.997,0.609
7.470,176.651,0.590
7.480,181.469,0.573
7.490,181.469,0.562
7.500,184.997,0.558
7.510,184.997,0.560
7.520,181.469,0.565
7.530,181.469,0.569
7.540,181.469,0.574
7.550,181.469,0.577
7.560,187.433,0.578
7.570,185.264,0.576
7.580,181.469,0.573
7.590,177.894,0.566
7.600,174.614,0.557
7.610,174.614,0.545
7.620,178.008,0.529
7.630,176.544,0.511
7.640,174.614,0.501
7.650,174.614,0.509
7.660,177.968,0.517
7.670,174.614,0.525
7.680,792.030,0.532
7.690,42.000,0.539
7.700,42.004,0.545
7.710,42.004,0.552
7.720,42.004,0.558
7.730,42.004,0.564
7.740,42.004,0.569
7.750,42.004,0.575
7.760,41.917,0.580
7.770,116.669,0.585
7.780,45.367,0.589
7.790,45.367,0.594
7.800,45.367,0.598
7.810,45.824,0.602
7.820,46.249,0.606
7.830,46.249,0.609
7.840,110.081,0.613
7.850,109.894,0.616
7.860,107.902,0.618
7.870,107.917,0.621
7.880,53.951,0.624
7.890,53.951,0.627
7.900,114.357,0.629
7.910,114.319,0.632
7.920,114.305,0.634
7.930,92.509,0.637
7.940,38.149,0.639
7.950,57.161,0.641
7.960,181.469,0.643
7.970,183.911,0.644
7.980,181.470,0.661
7.990,181.469,0.705
8.000,178.009,0.742
8.010,178.009,0.773
8.020,177.989,0.799
8.030,174.832,0.819
8.040,174.614,0.835
8.050,175.189,0.847
8.060,174.644,0.860
8.070,178.009,0.869
8.080,178.009,0.876
8.090,174.615,0.888
8.100,174.614,0.898
8.110,171.284,0.905
8.120,168.018,0.909
8.130,167.994,0.911
8.140,164.814,0.911
8.150,164.814,0.908
8.160,164.814,0.903
8.170,164.814,0.896
8.180,168.018,0.886
8.190,169.522,0.875
8.200,171.284,0.878
8.210,174.614,0.885
8.220,178.009,0.891
8.230,178.009,0.898
8.240,178.009,0.905
8.250,178.009,0.911
8.260,178.009,0.915
8.270,178.009,0.918
8.280,178.009,0.920
8.290,178.009,0.919
8.300,178.009,0.917
8.310,178.009,0.914
8.320,178.009,0.910
8.330,178.009,0.905
8.340,178.009,0.899
8.350,178.009,0.891
8.360,178.009,0.882
8.370,178.009,0.871
8.380,177.848,0.858
8.390,175.436,0.843
8.400,174.606,0.827
8.410,178.009,0.809
8.420,161.688,0.790
8.430,161.719,0.769
8.440,178.009,0.756
8.450,164.714,0.767
8.460,164.816,0.784
8.470,161.560,0.802
8.480,149.685,0.818
8.490,146.876,0.832
8.500,146.832,0.845
8.510,146.832,0.855
8.520,146.832,0.864
8.530,144.032,0.872
8.540,144.032,0.878
8.550,144.032,0.883
8.560,144.030,0.887
8.570,141.286,0.889
8.580,141.286,0.890
8.590,141.286,0.889
8.600,141.286,0.887
8.610,141.286,0.883
8.620,144.032,0.878
8.630,144.032,0.872
8.640,144.032,0.864
8.650,144.032,0.855
8.660,144.032,0.845
8.670,141.285,0.832
8.680,135.948,0.818
8.690,133.356,0.803
8.700,133.356,0.786
8.710,120.162,0.767
8.720,118.807,0.776
8.730,118.807,0.786
8.740,118.807,0.795
8.750,116.710,0.803
8.760,116.541,0.809
8.770,116.541,0.814
8.780,116.541,0.818
8.790,116.541,0.820
8.800,116.541,0.822
8.810,116.541,0.823
8.820,116.541,0.823
8.830,116.541,0.821
8.840,116.541,0.819
8.850,116.541,0.816
8.860,118.807,0.815
8.870,118.807,0.813
8.880,118.807,0.811
8.890,118.810,0.808
8.900,121.116,0.805
8.910,121.116,0.801
8.920,121.116,0.801
8.930,121.116,0.806
8.940,123.471,0.809
8.950,123.471,0.812
8.960,123.471,0.815
8.970,123.471,0.816
8.980,125.512,0.817
8.990,125.871,0.816
9.000,125.871,0.816
9.010,125.871,0.814
9.020,125.864,0.813
9.030,123.471,0.811
9.040,123.471,0.810
9.050,123.471,0.809
9.060,123.471,0.807
9.070,121.116,0.806
9.080,121.116,0.805
9.090,121.116,0.804
9.100,121.116,0.803
9.110,121.116,0.802
9.120,121.116,0.801
9.130,123.471,0.799
9.140,123.471,0.797
9.150,123.471,0.795
9.160,123.471,0.792
9.170,123.471,0.788
9.180,125.871,0.786
9.190,125.871,0.793
9.200,125.871,0.798
9.210,125.871,0.801
9.220,125.871,0.802
9.230,125.871,0.802
9.240,125.871,0.800
9.250,123.471,0.797
9.260,123.471,0.793
9.270,123.472,0.787
9.280,123.471,0.780
9.290,124.353,0.773
9.300,121.116,0.764
9.310,121.116,0.755
9.320,121.116,0.744
9.330,118.807,0.733
9.340,118.807,0.720
9.350,118.807,0.705
9.360,118.807,0.691
9.370,118.807,0.683
9.380,116.541,0.674
9.390,118.692,0.664
9.400,118.807,0.657
9.410,118.807,0.659
9.420,118.807,0.660
9.430,120.491,0.663
9.440,121.060,0.666
9.450,112.284,0.668
9.460,109.898,0.669
9.470,109.845,0.669
9.480,107.909,0.667
9.490,209.648,0.705
9.500,203.692,0.749
9.510,199.808,0.786
9.520,207.652,0.816
9.530,211.689,0.846
9.540,211.689,0.871
9.550,211.689,0.893
9.560,211.689,0.911
9.570,215.805,0.925
9.580,215.805,0.937
9.590,220.000,0.946
9.600,220.000,0.953
9.610,215.805,0.957
9.620,215.805,0.960
9.630,215.805,0.961
9.640,215.805,0.963
9.650,215.805,0.965
9.660,215.805,0.967
9.670,215.805,0.968
9.680,215.805,0.968
9.690,215.805,0.967
9.700,215.805,0.963
9.710,218.759,0.957
9.720,220.000,0.948
9.730,220.000,0.942
9.740,224.277,0.937
9.750,228.575,0.926
9.760,228.637,0.923
9.770,228.637,0.942
9.780,237.613,0.955
9.790,242.233,0.961
9.800,237.613,0.962
9.810,237.613,0.956
9.820,235.256,0.960
9.830,233.082,0.964
9.840,228.637,0.967
9.850,228.637,0.969
9.860,224.277,0.968
9.870,224.278,0.966
9.880,228.637,0.960
9.890,231.157,0.952
9.900,233.082,0.940
9.910,233.085,0.943
9.920,237.613,0.958
9.930,237.613,0.968
9.940,237.613,0.974
9.950,237.613,0.978
9.960,237.613,0.979
9.970,237.613,0.980
9.980,237.613,0.982
9.990,237.613,0.982
10.000,237.613,0.982
10.010,237.613,0.980
10.020,237.613,0.976
10.030,237.613,0.969
10.040,237.613,0.966
10.050,237.613,0.969
10.060,242.231,0.969
10.070,242.233,0.967
10.080,242.233,0.960
10.090,242.233,0.951
10.100,242.233,0.937
10.110,242.233,0.920
10.120,220.000,0.898
10.130,217.323,0.871
10.140,219.999,0.839
10.150,203.818,0.814
10.160,207.653,0.805
10.170,211.691,0.811
10.180,210.136,0.830
10.190,220.000,0.850
10.200,215.805,0.870
10.210,215.805,0.888
10.220,215.805,0.904
10.230,215.805,0.921
10.240,220.000,0.933
10.250,220.000,0.941
10.260,215.805,0.949
10.270,215.805,0.954
10.280,215.805,0.956
10.290,211.699,0.956
10.300,211.689,0.952
10.310,211.689,0.946
10.320,211.689,0.936
10.330,211.689,0.923
10.340,211.689,0.907
10.350,211.689,0.887
10.360,211.689,0.863
10.370,212.511,0.838
10.380,215.805,0.818
10.390,215.805,0.801
10.400,220.000,0.790
10.410,220.000,0.787
10.420,220.000,0.792
10.430,219.999,0.802
10.440,215.805,0.835
10.450,214.486,0.862
10.460,211.699,0.884
10.470,211.690,0.902
10.480,211.689,0.917
10.490,211.690,0.929
10.500,211.689,0.939
10.510,211.689,0.947
10.520,211.689,0.953
10.530,211.689,0.957
10.540,211.689,0.959
10.550,211.689,0.960
10.560,211.689,0.958
10.570,211.689,0.955
10.580,211.689,0.951
10.590,211.689,0.945
10.600,211.689,0.942
10.610,215.805,0.950
10.620,215.805,0.957
10.630,215.805,0.961
10.640,215.805,0.963
10.650,215.805,0.962
10.660,215.805,0.959
10.670,215.805,0.953
10.680,215.804,0.960
10.690,211.994,0.965
10.700,211.689,0.970
10.710,211.689,0.972
10.720,211.689,0.972
10.730,211.689,0.970
10.740,211.689,0.965
10.750,211.689,0.958
10.760,211.689,0.948
10.770,211.689,0.937
10.780,211.689,0.925
10.790,215.805,0.911
10.800,219.536,0.908
10.810,220.000,0.924
10.820,224.277,0.937
10.830,224.277,0.948
10.840,228.637,0.955
10.850,224.277,0.958
10.860,224.277,0.957
10.870,224.277,0.952
10.880,220.000,0.944
10.890,220.000,0.940
10.900,220.000,0.941
10.910,215.805,0.937
